,Assembly Code,Assembly Description,Type Comments,OmniClass Number,OmniClass Title,Access Control,Acoustic Designation,Comments,Description,Door Panel Thickness,Door Panel Width,DOOR_Gas Suppression,DOOR_Material Frame,DOOR_Material Panel,EXT_DOOR_Access_Control,EXT_DOOR_Closer,EXT_DOOR_Drawing_Reference,EXT_DOOR_Location,EXT_DOOR_Operation/Security,EXT_DOOR_Type,EXT_DOOR_Type_Description,Family,Family and Type,Fire Designation,Frame Thickness,Head Height,Height,Host Partition Thickness,Ironmongery Set,Keynote,Level,Mark,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Sill Height,Thickness,Thickness_2,Type,Type Mark,Width,Door Panel Height,DOOR_Louvred,Manufacturer,Fire Rating,EXT_DOOR_Minimum_Clear_Width,NBSDescription,NBSNote,NBSReference,NBSTypeID,AssetIdentifier,Colour,Constituents,Features,Finish,Grade,InstallationDate,Material,ProductionYear,ReplacementCost,ServiceLifeDuration,Shape,Size,TagNumber,WarrantyDescription,WarrantyDurationLabour,WarrantyDurationParts,WarrantyGuarantorLabour,WarrantyGuarantorParts,DOOR_DoubleSwing,DOOR_KickPlate,NominalWidth,DOOR_Vision Panel,NominalHeight,NominalLength,DOOR_GlazingThickness,DOOR_KickPlateHeight,DOOR_PanelHeight,DOOR_VisionPanelBottom_1,DOOR_VisionPanelBottom_2,Door_VisionPanelHeight_1,Door_VisionPanelHeight_2,DOOR_VisionPanelOffset,DOOR_VisionPanelWidth
IfcText('ED-40-B20'),IfcText(''),IfcText(''),IfcText('DD/SS (GL)'),IfcText(''),IfcText(''),,IfcText('N/A'),IfcText('Demountable double doorset & side panels. S/O as scheduled. Refer to elevation for further information'),IfcText('DD/SS (GL)'),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(862.),,IfcLabel('Telegrey 4 (RAL 7047)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('Switch rooms - HV1'),IfcText(''),IfcText('EDT 16a'),IfcText('Demountable double doorset & side panels. S/O as scheduled. Refer to elevation for further information'),IfcLabel('EDT 16a - Equal Double Door_with side panels: EDT 16a _4000w x 2600h'),IfcLabel('EDT 16a - Equal Double Door_with side panels: EDT 16a _4000w x 2600h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(3850.),IfcLengthMeasure(2600.),IfcLengthMeasure(139.999999999968),IfcText('E6b'),IfcText('L20/486'),IfcLabel('Level: Level B - EC'),IfcText('ED-40-B20'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2600.),IfcLengthMeasure(4000.),IfcLengthMeasure(1250.),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(260.),IfcLabel('EDT 16a - Equal Double Door_with side panels: EDT 16a _4000w x 2600h'),IfcText('EDT 3ddddd'),IfcLengthMeasure(4000.),IfcLengthMeasure(2053.),IfcBoolean(.F.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-B19'),IfcText(''),IfcText(''),IfcText('DD/SS (GL)'),IfcText(''),IfcText(''),,IfcText('N/A'),IfcText('Demountable double doorset & side panels. S/O as scheduled. Refer to elevation for further information'),IfcText('DD/SS (GL)'),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(862.),,IfcLabel('Telegrey 4 (RAL 7047)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('Switch rooms - HV2'),IfcText(''),IfcText('EDT 16a'),IfcText('Demountable double doorset & side panels. S/O as scheduled. Refer to elevation for further information'),IfcLabel('EDT 16a - Equal Double Door_with side panels: EDT 16a _4000w x 2600h'),IfcLabel('EDT 16a - Equal Double Door_with side panels: EDT 16a _4000w x 2600h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(3850.),IfcLengthMeasure(2600.),IfcLengthMeasure(139.999999999968),,IfcText('L20/486'),IfcLabel('Level: Level B - EC'),IfcText('ED-40-B19'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2600.),IfcLengthMeasure(4000.),IfcLengthMeasure(1250.),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(260.),IfcLabel('EDT 16a - Equal Double Door_with side panels: EDT 16a _4000w x 2600h'),IfcText('EDT 3ddddd'),IfcLengthMeasure(4000.),IfcLengthMeasure(2053.),IfcBoolean(.F.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-B22'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),,IfcText('N/A'),IfcText(''),IfcText(''),IfcLengthMeasure(38.),IfcLengthMeasure(960.),,IfcLabel('Telegrey 4 (RAL 7047)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('Switch rooms - HV2'),IfcText(''),IfcText('EDT 1b OP'),"IfcText('Hinged, steel, single doorset, with overpanel')",IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2600h'),IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2600h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(3850.),IfcLengthMeasure(2600.),IfcLengthMeasure(149.999999999992),IfcText('E6a'),IfcText('L20/481'),IfcLabel('Level: Level B - EC'),IfcText('ED-40-B22'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2600.),IfcLengthMeasure(1060.),IfcLengthMeasure(1250.),IfcLengthMeasure(38.),IfcLengthMeasure(260.000000000969),IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2600h'),IfcText('EDT 3hhhhh'),IfcLengthMeasure(1060.),IfcLengthMeasure(2474.99999999999),,IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-B24'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),,IfcText('N/A'),IfcText(''),IfcText(''),IfcLengthMeasure(38.),IfcLengthMeasure(960.),,IfcLabel('Telegrey 4 (RAL 7047)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('Switch rooms - HV1'),IfcText(''),IfcText('EDT 1b OP'),"IfcText('Hinged, steel, single doorset, with overpanel')",IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2600h'),IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2600h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(3850.),IfcLengthMeasure(2600.),IfcLengthMeasure(149.999999999992),IfcText('E6a'),IfcText('L20/481'),IfcLabel('Level: Level B - EC'),IfcText('ED-40-B24'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2600.),IfcLengthMeasure(1060.),IfcLengthMeasure(1250.),IfcLengthMeasure(38.),IfcLengthMeasure(260.000000000969),IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2600h'),IfcText('EDT 3hhhhh'),IfcLengthMeasure(1060.),IfcLengthMeasure(2474.99999999999),,IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-003'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),,IfcText('N/A'),IfcText(''),IfcText(''),IfcLengthMeasure(38.),IfcLengthMeasure(960.),,IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('LV switch & UPS'),IfcText('Monitored contact 24hr'),IfcText('EDT 1b OP'),"IfcText('Hinged, steel, single doorset, with overpanel')",IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2535h'),IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2535h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2435.),IfcLengthMeasure(2535.),IfcLengthMeasure(149.999999999992),IfcText('E1a'),IfcText('L20/481'),IfcLabel('Level: Level 0'),IfcText('ED-40-003'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2535.),IfcLengthMeasure(1060.),IfcLengthMeasure(-100.),IfcLengthMeasure(38.),IfcLengthMeasure(260.000000000969),IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2535h'),IfcText('EDT 3mmmm'),IfcLengthMeasure(1060.),IfcLengthMeasure(2474.99999999999),,IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-004'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),,IfcText('N/A'),IfcText(''),IfcText(''),IfcLengthMeasure(38.),IfcLengthMeasure(960.),,IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('LV switch & UPS'),IfcText('Monitored contact 24hr'),IfcText('EDT 1b OP'),"IfcText('Hinged, steel, single doorset, with overpanel')",IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2535h'),IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2535h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2435.),IfcLengthMeasure(2535.),IfcLengthMeasure(149.999999999992),,IfcText('L20/481'),IfcLabel('Level: Level 0'),IfcText('ED-40-004'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2535.),IfcLengthMeasure(1060.),IfcLengthMeasure(-100.),IfcLengthMeasure(38.),IfcLengthMeasure(260.000000000969),IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2535h'),IfcText('EDT 3mmmm'),IfcLengthMeasure(1060.),IfcLengthMeasure(2474.99999999999),,IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-021'),IfcText(''),IfcText(''),,IfcText('23.30.10.00'),IfcText('Doors'),,IfcText('N/A'),IfcText('Door is located within louvre'),,,,,,IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('Bin store'),IfcText(''),IfcText('EDT 3e'),"IfcText('Hinged, louvre screening, double')",IfcLabel('EDT 3e - Louvre Door (Bin Store) - Double: EDT 3e_2000w x 2110h'),IfcLabel('EDT 3e - Louvre Door (Bin Store) - Double: EDT 3e_2000w x 2110h'),IfcText('N/A'),,IfcLengthMeasure(2040.),IfcLengthMeasure(2110.),,IfcText('E1e'),IfcText('Q40A/436'),IfcLabel('Level: Level 0 - EC'),IfcText('ED-40-021'),,IfcLabel('New Construction'),,,,,IfcLengthMeasure(-70.),,,IfcLabel('EDT 3e - Louvre Door (Bin Store) - Double: EDT 3e_2000w x 2110h'),IfcText('EDT 3iiii'),IfcLengthMeasure(2000.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-020'),IfcText(''),IfcText(''),,IfcText('23.30.10.00'),IfcText('Doors'),,IfcText('N/A'),IfcText('Door is located within louvre'),,,,,,IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('Bin store'),IfcText(''),IfcText('EDT 3e'),"IfcText('Hinged, louvre screening, double')",IfcLabel('EDT 3e - Louvre Door (Bin Store) - Double: EDT 3e_2000w x 2110h'),IfcLabel('EDT 3e - Louvre Door (Bin Store) - Double: EDT 3e_2000w x 2110h'),IfcText('N/A'),,IfcLengthMeasure(2040.),IfcLengthMeasure(2110.),,,IfcText('Q40A/436'),IfcLabel('Level: Level 0 - EC'),IfcText('ED-40-020'),,IfcLabel('New Construction'),,,,,IfcLengthMeasure(-70.),,,IfcLabel('EDT 3e - Louvre Door (Bin Store) - Double: EDT 3e_2000w x 2110h'),IfcText('EDT 3iiii'),IfcLengthMeasure(2000.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-019'),IfcText(''),IfcText(''),,IfcText('23.30.10.00'),IfcText('Doors'),,IfcText('N/A'),IfcText('Door is located within louvre'),,,,,,IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('Bin store'),IfcText(''),IfcText('EDT 3e'),"IfcText('Hinged, louvre screening, double')",IfcLabel('EDT 3e - Louvre Door (Bin Store) - Double: EDT 3e_2000w x 2110h'),IfcLabel('EDT 3e - Louvre Door (Bin Store) - Double: EDT 3e_2000w x 2110h'),IfcText('N/A'),,IfcLengthMeasure(2040.),IfcLengthMeasure(2110.),,IfcText('E1e'),IfcText('Q40A/436'),IfcLabel('Level: Level 0 - EC'),IfcText('ED-40-019'),,IfcLabel('New Construction'),,,,,IfcLengthMeasure(-70.),,,IfcLabel('EDT 3e - Louvre Door (Bin Store) - Double: EDT 3e_2000w x 2110h'),IfcText('EDT 3iiii'),IfcLengthMeasure(2000.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-022'),IfcText(''),IfcText(''),,IfcText('23.30.10.00'),IfcText('Doors'),,IfcText('N/A'),IfcText('Door is located within louvre'),,,,,,IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('Bin store'),IfcText(''),IfcText('EDT 1e'),"IfcText('Hinged, louvre screening, single')",IfcLabel('EDT 1e - Louvre Door (Bin Store) - Single: EDT 1e_1000w x 2110h'),IfcLabel('EDT 1e - Louvre Door (Bin Store) - Single: EDT 1e_1000w x 2110h'),IfcText('N/A'),,IfcLengthMeasure(2040.),IfcLengthMeasure(2110.),,,IfcText('Q40A/436'),IfcLabel('Level: Level 0 - EC'),IfcText('ED-40-022'),,IfcLabel('New Construction'),,,,,IfcLengthMeasure(-70.),,,IfcLabel('EDT 1e - Louvre Door (Bin Store) - Single: EDT 1e_1000w x 2110h'),IfcText('EDT 3hhhh'),IfcLengthMeasure(1000.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-023'),IfcText(''),IfcText(''),,IfcText('23.30.10.00'),IfcText('Doors'),,IfcText('N/A'),IfcText('Door is located within louvre'),,,,,,IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('Bin store'),IfcText(''),IfcText('EDT 1e'),"IfcText('Hinged, louvre screening, single')",IfcLabel('EDT 1e - Louvre Door (Bin Store) - Single: EDT 1e_1000w x 2110h'),IfcLabel('EDT 1e - Louvre Door (Bin Store) - Single: EDT 1e_1000w x 2110h'),IfcText('N/A'),,IfcLengthMeasure(2040.),IfcLengthMeasure(2110.),,IfcText('E1d'),IfcText('Q40A/436'),IfcLabel('Level: Level 0 - EC'),IfcText('ED-40-023'),,IfcLabel('New Construction'),,,,,IfcLengthMeasure(-70.),,,IfcLabel('EDT 1e - Louvre Door (Bin Store) - Single: EDT 1e_1000w x 2110h'),IfcText('EDT 3hhhh'),IfcLengthMeasure(1000.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-001'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),,IfcText('N/A'),IfcText(''),IfcText(''),IfcLengthMeasure(38.),IfcLengthMeasure(960.),,IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('LV switch & UPS'),IfcText('Monitored contact 24hr'),IfcText('EDT 1b OP'),"IfcText('Hinged, steel, single doorset, with overpanel')",IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2535h'),IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2535h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2435.),IfcLengthMeasure(2535.),IfcLengthMeasure(149.999999999992),,IfcText('L20/481'),IfcLabel('Level: Level 0'),IfcText('ED-40-001'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2535.),IfcLengthMeasure(1060.),IfcLengthMeasure(-100.),IfcLengthMeasure(38.),IfcLengthMeasure(260.000000000969),IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2535h'),IfcText('EDT 3mmmm'),IfcLengthMeasure(1060.),IfcLengthMeasure(2474.99999999999),,IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-012'),IfcText(''),IfcText(''),IfcText('DD/SS (GL)'),IfcText(''),IfcText(''),IfcText(''),IfcText('N/A'),IfcText(''),IfcText('DD/SS (GL)'),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(862.),,IfcLabel('Telegrey 4 (RAL 7047)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('EC White Space'),IfcText('Door contacts 24hr/alarm'),IfcText('EDT 3b OP'),"IfcText('Hinged, steel, double doorset, with overpanel')",IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2565h'),IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2565h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2565.),IfcLengthMeasure(2565.),IfcLengthMeasure(139.999999999968),IfcText('E1c'),IfcText('L20/481'),IfcLabel('Level: Level 0 - EC'),IfcText('ED-40-012'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2565.),IfcLengthMeasure(1810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(260.),IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2565h'),IfcText('EDT 3rrrr'),IfcLengthMeasure(1810.),IfcLengthMeasure(2053.),IfcBoolean(.F.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-010'),IfcText(''),IfcText(''),IfcText('DD/SS (GL)'),IfcText(''),IfcText(''),IfcText(''),IfcText('N/A'),IfcText(''),IfcText('DD/SS (GL)'),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(862.),,IfcLabel('Telegrey 4 (RAL 7047)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('EC White Space'),IfcText('Door contacts 24hr/alarm'),IfcText('EDT 3b OP'),"IfcText('Hinged, steel, double doorset, with overpanel')",IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2565h'),IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2565h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2565.),IfcLengthMeasure(2565.),IfcLengthMeasure(139.999999999968),,IfcText('L20/481'),IfcLabel('Level: Level 0 - EC'),IfcText('ED-40-010'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2565.),IfcLengthMeasure(1810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(260.),IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2565h'),IfcText('EDT 3rrrr'),IfcLengthMeasure(1810.),IfcLengthMeasure(2053.),IfcBoolean(.F.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-011'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('N/A'),IfcText(''),IfcText(''),IfcLengthMeasure(38.),IfcLengthMeasure(960.),,IfcLabel('Telegrey 4 (RAL 7047)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('EC Corridor West'),IfcText('Door contact 24hr/alarm'),IfcText('EDT 1d OP'),"IfcText('Hinged, steel-framed, single doorset, with louvred overpanel')",IfcLabel('EDT 1d OP - External Single Door _with louvred over panel: EDT 1d OP_1060w x 2565h'),IfcLabel('EDT 1d OP - External Single Door _with louvred over panel: EDT 1d OP_1060w x 2565h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2565.),IfcLengthMeasure(2565.),IfcLengthMeasure(149.999999999992),IfcText('E1a'),IfcText('L20/481'),IfcLabel('Level: Level 0 - EC'),IfcText('ED-40-011'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2565.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(260.000000000969),IfcLabel('EDT 1d OP - External Single Door _with louvred over panel: EDT 1d OP_1060w x 2565h'),IfcText('EDT 3fffff'),IfcLengthMeasure(1060.),IfcLengthMeasure(2049.99999999999),,IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-015'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('N/A'),IfcText(''),IfcText(''),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(1162.),,IfcLabel('Telegrey 4 (RAL 7047)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('EC Builders workshop'),IfcText('Monitored contact 24hr'),IfcText('EDT 3b'),"IfcText('Hinged, steel, double doorset')",IfcLabel('EDT 3b - Equal Double Door: EDT 3b_2400w x 2560h'),IfcLabel('EDT 3b - Equal Double Door: EDT 3b_2400w x 2560h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2560.),IfcLengthMeasure(2560.),IfcLengthMeasure(139.999999999968),IfcText('E1f'),IfcText('L20/481'),IfcLabel('Level: Level 0 - EC'),IfcText('ED-40-015'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2560.),IfcLengthMeasure(2410.),IfcLengthMeasure(0.),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(260.),IfcLabel('EDT 3b - Equal Double Door: EDT 3b_2400w x 2560h'),IfcText('EDT 3ccccc'),IfcLengthMeasure(2410.),IfcLengthMeasure(2053.),,,IfcText('N/A'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-013'),IfcText(''),IfcText(''),IfcText('DD/SS (GL)'),IfcText(''),IfcText(''),IfcText(''),IfcText('N/A'),IfcText(''),IfcText('DD/SS (GL)'),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(862.),,IfcLabel('Telegrey 4 (RAL 7047)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('EC Engineers Workshop'),IfcText('Door contacts 24hr/alarm'),IfcText('EDT 3b OP'),"IfcText('Hinged, steel, double doorset, with overpanel')",IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2565h'),IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2565h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2565.),IfcLengthMeasure(2565.),IfcLengthMeasure(139.999999999968),,IfcText('L20/481'),IfcLabel('Level: Level 0 - EC'),IfcText('ED-40-013'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2565.),IfcLengthMeasure(1810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(260.),IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2565h'),IfcText('EDT 3rrrr'),IfcLengthMeasure(1810.),IfcLengthMeasure(2053.),IfcBoolean(.F.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-014'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('N/A'),IfcText(''),IfcText(''),IfcLengthMeasure(38.),IfcLengthMeasure(960.),,IfcLabel('Telegrey 4 (RAL 7047)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.T.),IfcText('Yes'),IfcText('TBC'),IfcText('EC Corridor North'),IfcText('Door contact 24hr/alarm'),IfcText('EDT 1b OP'),"IfcText('Hinged, steel, single doorset, with overpanel')",IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2565h'),IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2565h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2565.),IfcLengthMeasure(2565.),IfcLengthMeasure(149.999999999992),,IfcText('L20/481'),IfcLabel('Level: Level 0 - EC'),IfcText('ED-40-014'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2565.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(260.000000000969),IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2565h'),IfcText('EDT 3ssss'),IfcLengthMeasure(1060.),IfcLengthMeasure(2070.),,IfcText(''),IfcText('N/A'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-40-024'),IfcText(''),IfcText(''),IfcText('DD/SS (GL)'),IfcText(''),IfcText(''),,IfcText('N/A'),IfcText(''),IfcText('DD/SS (GL)'),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(862.),,IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('LV switch & UPS'),IfcText('Monitored contact 24hr'),IfcText('EDT 3b OP'),"IfcText('Hinged, steel, double doorset, with overpanel')",IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2535h'),IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2535h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2435.),IfcLengthMeasure(2535.),IfcLengthMeasure(139.999999999968),,IfcText('L20/481'),IfcLabel('Level: Level 0'),IfcText('ED-40-024'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2535.),IfcLengthMeasure(1810.),IfcLengthMeasure(-100.),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(260.),IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2535h'),IfcText('EDT 3llll'),IfcLengthMeasure(1810.),IfcLengthMeasure(2053.),IfcBoolean(.F.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
