,Ironmongery Set,Mapped Ironmongery Set,Comparison Excel,Comparison Python,
25,G04,,FALSE,FALSE,
26,G04,,FALSE,FALSE,
27,G02,,FALSE,FALSE,
43,G04,,FALSE,FALSE,
42,G04,,FALSE,FALSE,
41,G04,,FALSE,FALSE,
40,3,,FALSE,FALSE,
39,,,TRUE,FALSE,
38,,12,FALSE,FALSE,
37,,,TRUE,FALSE,
6,,3,FALSE,FALSE,
36,,16,FALSE,FALSE,
34,,,TRUE,FALSE,
33,G02,,FALSE,FALSE,
32,G04,,FALSE,FALSE,
31,G04,,FALSE,FALSE,
30,G04,,FALSE,FALSE,
29,G04,,FALSE,FALSE,
28,,,TRUE,FALSE,
35,16,16,TRUE,FALSE,
5,,3,FALSE,FALSE,
4,,17c,FALSE,FALSE,
2,,03DA,FALSE,FALSE,
8,,06b,FALSE,FALSE,
6,,06b,FALSE,FALSE,
3,,05a,FALSE,FALSE,
2,,03b,FALSE,FALSE,
1,,33c,FALSE,FALSE,
0,,33c,FALSE,FALSE,
42,45,45,TRUE,FALSE,
32,1,1,TRUE,FALSE,
28,16,16,TRUE,FALSE,
19,6,6,TRUE,FALSE,
16,17,17,TRUE,FALSE,
13,16,16,TRUE,FALSE,
5,4,4,TRUE,FALSE,
13,,as H11/ 134A,FALSE,FALSE,
12,,,TRUE,FALSE,
10,,E5a,FALSE,FALSE,
20,6,6,TRUE,FALSE,
44,G04,,FALSE,FALSE,
14,,06b,FALSE,FALSE,
18,,6,FALSE,FALSE,
1,3,3,TRUE,FALSE,
0,3,3,TRUE,FALSE,
41,TBC,,FALSE,FALSE,
40,,,TRUE,FALSE,
39,,9,FALSE,FALSE,
38,,9,FALSE,FALSE,
35,Supplied by Specialist Contractor,,FALSE,FALSE,
17,,06b,FALSE,FALSE,
33,,03b,FALSE,FALSE,
28,,03b,FALSE,FALSE,
26,,,TRUE,FALSE,
25,,,TRUE,FALSE,
24,G08,,FALSE,FALSE,
23,G09,,FALSE,FALSE,
22,,05DA,FALSE,FALSE,
20,Supplied by Specialist Contractor,,FALSE,FALSE,
30,,03b,FALSE,FALSE,
45,,,TRUE,FALSE,
46,G04,,FALSE,FALSE,
47,G04,,FALSE,FALSE,
34,,E1c,FALSE,FALSE,
31,,E1c,FALSE,FALSE,
29,,E1a,FALSE,FALSE,
27,,E1d,FALSE,FALSE,
25,,E1e,FALSE,FALSE,
23,,E1a,FALSE,FALSE,
19,,E6b,FALSE,FALSE,
35,,E3a,FALSE,FALSE,
17,,E1c,FALSE,FALSE,
15,,E1c,FALSE,FALSE,
13,,E1c,FALSE,FALSE,
12,,E1c,FALSE,FALSE,
11,,E1c,FALSE,FALSE,
10,,E1c,FALSE,FALSE,
9,,E1f,FALSE,FALSE,
6,,E1c,FALSE,FALSE,
16,,E1c,FALSE,FALSE,
5,,E1c,FALSE,FALSE,
36,,E1c,FALSE,FALSE,
39,,E1c,FALSE,FALSE,
44,3,3,TRUE,FALSE,
43,Specialist,,FALSE,FALSE,
40,6,6,TRUE,FALSE,
26,3,3,TRUE,FALSE,
12,18,18,TRUE,FALSE,
11,18,18,TRUE,FALSE,
10,18,18,TRUE,FALSE,
37,,E1c,FALSE,FALSE,
9,18,18,TRUE,FALSE,
5,49,49,TRUE,FALSE,
0,6,6,TRUE,FALSE,
48,,E1a,FALSE,FALSE,
47,,,TRUE,FALSE,
45,,E1a,FALSE,FALSE,
44,,E1c,FALSE,FALSE,
43,E1e,,FALSE,FALSE,
6,18,18,TRUE,FALSE,
9,,E5a,FALSE,FALSE,
4,,E1c,FALSE,FALSE,
2,,E1c,FALSE,FALSE,
1,,E3a,FALSE,FALSE,
0,,E4b,FALSE,FALSE,
1,,E4a,FALSE,FALSE,
0,,E3a,FALSE,FALSE,
59,,,TRUE,FALSE,
58,G04,,FALSE,FALSE,
57,,,TRUE,FALSE,
2,,E4b,FALSE,FALSE,
56,G04,,FALSE,FALSE,
54,,,TRUE,FALSE,
53,G04,,FALSE,FALSE,
52,,,TRUE,FALSE,
51,G04,,FALSE,FALSE,
50,G04,,FALSE,FALSE,
49,,,TRUE,FALSE,
48,,,TRUE,FALSE,
55,G04,,FALSE,FALSE,
3,,E1c,FALSE,FALSE,
3,,E4b,FALSE,FALSE,
5,,E4b,FALSE,FALSE,
1,,E1c,FALSE,FALSE,
23,TBC,,FALSE,FALSE,
22,,as H11/135A,FALSE,FALSE,
21,,as L20/491,FALSE,FALSE,
19,,E1e,FALSE,FALSE,
17,,E4b,FALSE,FALSE,
16,,E4b,FALSE,FALSE,
4,,E4a,FALSE,FALSE,
15,,E4b,FALSE,FALSE,
13,,E4a,FALSE,FALSE,
12,,as H11/134A,FALSE,FALSE,
11,,E4a,FALSE,FALSE,
10,,E4b,FALSE,FALSE,
9,,E4b,FALSE,FALSE,
8,,E4b,FALSE,FALSE,
6,,E4b,FALSE,FALSE,
14,,as H11/134A,FALSE,FALSE,
3,6,6,TRUE,FALSE,
7,,E5a,FALSE,FALSE,
3,,E1c,FALSE,FALSE,
58,1,1,TRUE,FALSE,
57,1,1,TRUE,FALSE,
56,1,1,TRUE,FALSE,
55,1,1,TRUE,FALSE,
54,1,1,TRUE,FALSE,
53,1,1,TRUE,FALSE,
52,1,1,TRUE,FALSE,
51,1,1,TRUE,FALSE,
50,1,1,TRUE,FALSE,
49,1,1,TRUE,FALSE,
48,1,1,TRUE,FALSE,
47,1,1,TRUE,FALSE,
46,1,1,TRUE,FALSE,
45,1,1,TRUE,FALSE,
44,1,1,TRUE,FALSE,
59,1,1,TRUE,FALSE,
60,1,1,TRUE,FALSE,
61,1,1,TRUE,FALSE,
62,4,4,TRUE,FALSE,
93,1,1,TRUE,FALSE,
92,1,1,TRUE,FALSE,
91,1,1,TRUE,FALSE,
90,1,1,TRUE,FALSE,
89,1,1,TRUE,FALSE,
88,1,1,TRUE,FALSE,
87,1,1,TRUE,FALSE,
43,1,1,TRUE,FALSE,
86,1,1,TRUE,FALSE,
84,1,1,TRUE,FALSE,
83,1,1,TRUE,FALSE,
82,1,1,TRUE,FALSE,
80,1,1,TRUE,FALSE,
72,1,1,TRUE,FALSE,
71,1,1,TRUE,FALSE,
63,1,1,TRUE,FALSE,
85,1,1,TRUE,FALSE,
42,1,1,TRUE,FALSE,
41,1,1,TRUE,FALSE,
39,1,1,TRUE,FALSE,
3,1,1,TRUE,FALSE,
2,1,1,TRUE,FALSE,
0,1,1,TRUE,FALSE,
19,6,6,TRUE,FALSE,
15,Supplied by Specialist Contractor,,FALSE,FALSE,
14,6,6,TRUE,FALSE,
13,6,6,TRUE,FALSE,
4,1,1,TRUE,FALSE,
12,6,6,TRUE,FALSE,
10,6,6,TRUE,FALSE,
63,Supplied by Specialist Contractor,,FALSE,FALSE,
51,TBC,,FALSE,FALSE,
50,47,47,TRUE,FALSE,
34,16,16,TRUE,FALSE,
32,,,TRUE,FALSE,
7,Supplied by Specialist Contractor,,FALSE,FALSE,
11,6,6,TRUE,FALSE,
94,1,1,TRUE,FALSE,
5,1,1,TRUE,FALSE,
7,1,1,TRUE,FALSE,
31,1,1,TRUE,FALSE,
30,1,1,TRUE,FALSE,
22,1,1,TRUE,FALSE,
21,4,4,TRUE,FALSE,
19,1,1,TRUE,FALSE,
18,1,1,TRUE,FALSE,
17,1,1,TRUE,FALSE,
6,1,1,TRUE,FALSE,
16,1,1,TRUE,FALSE,
14,1,1,TRUE,FALSE,
13,1,1,TRUE,FALSE,
12,1,1,TRUE,FALSE,
11,1,1,TRUE,FALSE,
10,1,1,TRUE,FALSE,
9,1,1,TRUE,FALSE,
8,1,1,TRUE,FALSE,
15,1,1,TRUE,FALSE,
95,4,4,TRUE,FALSE,
96,1,1,TRUE,FALSE,
105,1,1,TRUE,FALSE,
183,1,1,TRUE,FALSE,
182,1,1,TRUE,FALSE,
181,1,1,TRUE,FALSE,
180,1,1,TRUE,FALSE,
179,1,1,TRUE,FALSE,
178,1,1,TRUE,FALSE,
177,1,1,TRUE,FALSE,
184,1,1,TRUE,FALSE,
176,1,1,TRUE,FALSE,
174,1,1,TRUE,FALSE,
173,1,1,TRUE,FALSE,
172,1,1,TRUE,FALSE,
171,1,1,TRUE,FALSE,
170,1,1,TRUE,FALSE,
169,1,1,TRUE,FALSE,
168,1,1,TRUE,FALSE,
175,1,1,TRUE,FALSE,
167,1,1,TRUE,FALSE,
185,1,1,TRUE,FALSE,
187,1,1,TRUE,FALSE,
1,,E1c,FALSE,FALSE,
202,1,1,TRUE,FALSE,
201,1,1,TRUE,FALSE,
200,1,1,TRUE,FALSE,
199,1,1,TRUE,FALSE,
198,1,1,TRUE,FALSE,
197,1,1,TRUE,FALSE,
186,1,1,TRUE,FALSE,
196,1,1,TRUE,FALSE,
194,1,1,TRUE,FALSE,
193,1,1,TRUE,FALSE,
192,1,1,TRUE,FALSE,
191,1,1,TRUE,FALSE,
190,1,1,TRUE,FALSE,
189,1,1,TRUE,FALSE,
188,1,1,TRUE,FALSE,
195,1,1,TRUE,FALSE,
4,,E5d,FALSE,FALSE,
166,1,1,TRUE,FALSE,
164,1,1,TRUE,FALSE,
138,1,1,TRUE,FALSE,
137,1,1,TRUE,FALSE,
136,1,1,TRUE,FALSE,
135,1,1,TRUE,FALSE,
134,1,1,TRUE,FALSE,
133,1,1,TRUE,FALSE,
132,1,1,TRUE,FALSE,
139,1,1,TRUE,FALSE,
131,1,1,TRUE,FALSE,
129,1,1,TRUE,FALSE,
128,2,2,TRUE,FALSE,
126,2,2,TRUE,FALSE,
124,1,1,TRUE,FALSE,
123,2,2,TRUE,FALSE,
114,1,1,TRUE,FALSE,
106,1,1,TRUE,FALSE,
130,1,1,TRUE,FALSE,
165,1,1,TRUE,FALSE,
140,2,2,TRUE,FALSE,
143,2,2,TRUE,FALSE,
163,1,1,TRUE,FALSE,
162,1,1,TRUE,FALSE,
161,1,1,TRUE,FALSE,
160,1,1,TRUE,FALSE,
159,1,1,TRUE,FALSE,
158,1,1,TRUE,FALSE,
157,1,1,TRUE,FALSE,
142,1,1,TRUE,FALSE,
156,1,1,TRUE,FALSE,
154,1,1,TRUE,FALSE,
153,1,1,TRUE,FALSE,
152,1,1,TRUE,FALSE,
151,1,1,TRUE,FALSE,
150,1,1,TRUE,FALSE,
146,2,2,TRUE,FALSE,
145,1,1,TRUE,FALSE,
155,1,1,TRUE,FALSE,
20,4,4,TRUE,FALSE,
73,TBC,,FALSE,FALSE,
17,1,1,TRUE,FALSE,
6,1,1,TRUE,FALSE,
41,3,3,TRUE,FALSE,
4,1,1,TRUE,FALSE,
28,1,1,TRUE,FALSE,
29,1,1,TRUE,FALSE,
75,TBC,,FALSE,FALSE,
63,4,4,TRUE,FALSE,
80,43,43,TRUE,FALSE,
62,2,2,TRUE,FALSE,
61,2,2,TRUE,FALSE,
58,17b,,FALSE,FALSE,
65,3,3,TRUE,FALSE,
27,G07,,FALSE,FALSE,
33,As Spec Ref: L11/581,,FALSE,FALSE,
40,1,1,TRUE,FALSE,
3,1,1,TRUE,FALSE,
41,1,1,TRUE,FALSE,
7,1,1,TRUE,FALSE,
8,1,1,TRUE,FALSE,
42,3,3,TRUE,FALSE,
8,44,44,TRUE,FALSE,
24,1,1,TRUE,FALSE,
13,44,44,TRUE,FALSE,
18,1,1,TRUE,FALSE,
25,1,1,TRUE,FALSE,
16,1,1,TRUE,FALSE,
30,1,1,TRUE,FALSE,
26,1,1,TRUE,FALSE,
21,1,1,TRUE,FALSE,
15,G07,,FALSE,FALSE,
22,1,1,TRUE,FALSE,
19,1,1,TRUE,FALSE,
68,42,42,TRUE,FALSE,
72,1,1,TRUE,FALSE,
12,1,1,TRUE,FALSE,
11,1,1,TRUE,FALSE,
71,1,1,TRUE,FALSE,
23,1,1,TRUE,FALSE,
26,01FP,01FP,TRUE,TRUE,
25,01FP,01FP,TRUE,TRUE,
32,01FP,01FP,TRUE,TRUE,
27,01FP,01FP,TRUE,TRUE,
28,01FP,01FP,TRUE,TRUE,
24,01FP,01FP,TRUE,TRUE,
29,01FP,01FP,TRUE,TRUE,
30,01FP,01FP,TRUE,TRUE,
31,01FP,01FP,TRUE,TRUE,
110,06b,06b,TRUE,TRUE,
34,01FP,01FP,TRUE,TRUE,
111,06b,06b,TRUE,TRUE,
37,12FP,12FP,TRUE,TRUE,
38,12bFP,12bFP,TRUE,TRUE,
39,12bFP,12bFP,TRUE,TRUE,
40,12bFP,12bFP,TRUE,TRUE,
41,06bFP,06bFP,TRUE,TRUE,
42,06bFP,06bFP,TRUE,TRUE,
46,06b,06b,TRUE,TRUE,
45,06b,06b,TRUE,TRUE,
43,04b,04b,TRUE,TRUE,
44,06bFP,06bFP,TRUE,TRUE,
33,01FP,01FP,TRUE,TRUE,
23,01FP,01FP,TRUE,TRUE,
9,01FP,01FP,TRUE,TRUE,
21,01FP,01FP,TRUE,TRUE,
1,01FP,01FP,TRUE,TRUE,
0,01FP,01FP,TRUE,TRUE,
112,12*,12*,TRUE,TRUE,
113,12*,12*,TRUE,TRUE,
115,12*,12*,TRUE,TRUE,
115,17b,17b,TRUE,TRUE,
2,01FP,01FP,TRUE,TRUE,
116,12e*,12e*,TRUE,TRUE,
118,12e*,12e*,TRUE,TRUE,
119,12*,12*,TRUE,TRUE,
120,12e*,12e*,TRUE,TRUE,
121,12e*,12e*,TRUE,TRUE,
122,03b,03b,TRUE,TRUE,
116,12e*,12e*,TRUE,TRUE,
117,12*,12*,TRUE,TRUE,
3,01FP,01FP,TRUE,TRUE,
4,01FP,01FP,TRUE,TRUE,
5,01FP,01FP,TRUE,TRUE,
20,01FP,01FP,TRUE,TRUE,
19,01FP,01FP,TRUE,TRUE,
18,01FP,01FP,TRUE,TRUE,
17,01FP,01FP,TRUE,TRUE,
16,01FP,01FP,TRUE,TRUE,
15,01FP,01FP,TRUE,TRUE,
14,01FP,01FP,TRUE,TRUE,
13,01FP,01FP,TRUE,TRUE,
12,01FP,01FP,TRUE,TRUE,
11,01FP,01FP,TRUE,TRUE,
10,01FP,01FP,TRUE,TRUE,
47,03bFP,03bFP,TRUE,TRUE,
8,01FP,01FP,TRUE,TRUE,
7,01FP,01FP,TRUE,TRUE,
6,01FP,01FP,TRUE,TRUE,
22,01FP,01FP,TRUE,TRUE,
48,08h,08h,TRUE,TRUE,
24,03b,03b,TRUE,TRUE,
50,06b,06b,TRUE,TRUE,
108,12e*,12e*,TRUE,TRUE,
113,17bFP,17bFP,TRUE,TRUE,
112,01FP,01FP,TRUE,TRUE,
111,01FP,01FP,TRUE,TRUE,
110,01FP,01FP,TRUE,TRUE,
109,01FP,01FP,TRUE,TRUE,
108,01FP,01FP,TRUE,TRUE,
109,04b,04b,TRUE,TRUE,
115,03DAFP,03DAFP,TRUE,TRUE,
106,01FP,01FP,TRUE,TRUE,
104,03DAFP,03DAFP,TRUE,TRUE,
103,17bFP,17bFP,TRUE,TRUE,
102,17bFP,17bFP,TRUE,TRUE,
101,17bFP,17bFP,TRUE,TRUE,
100,17bFP,17bFP,TRUE,TRUE,
99,03gFP,03gFP,TRUE,TRUE,
98,03gFP,03gFP,TRUE,TRUE,
97,17bFP,17bFP,TRUE,TRUE,
105,06b,06b,TRUE,TRUE,
116,03FP,03FP,TRUE,TRUE,
117,21FP,21FP,TRUE,TRUE,
118,03FP,03FP,TRUE,TRUE,
138,03bFP,03bFP,TRUE,TRUE,
137,17bFP,17bFP,TRUE,TRUE,
136,06bFP,06bFP,TRUE,TRUE,
135,06b,06b,TRUE,TRUE,
134,03DAFP,03DAFP,TRUE,TRUE,
133,08FP,08FP,TRUE,TRUE,
104,03b,03b,TRUE,TRUE,
131,06bFP,06bFP,TRUE,TRUE,
130,06bFP,06bFP,TRUE,TRUE,
129,06bFP,06bFP,TRUE,TRUE,
128,17bFP,17bFP,TRUE,TRUE,
127,06bFP,06bFP,TRUE,TRUE,
126,06bFP,06bFP,TRUE,TRUE,
124,06b,06b,TRUE,TRUE,
114,06b,06b,TRUE,TRUE,
122,17bFP,17bFP,TRUE,TRUE,
107,06b,06b,TRUE,TRUE,
120,33aFP,33aFP,TRUE,TRUE,
119,03FP,03FP,TRUE,TRUE,
96,03gFP,03gFP,TRUE,TRUE,
49,06b,06b,TRUE,TRUE,
95,03gFP,03gFP,TRUE,TRUE,
93,17bFP,17bFP,TRUE,TRUE,
69,06bFP,06bFP,TRUE,TRUE,
68,06b,06b,TRUE,TRUE,
67,17bFP,17bFP,TRUE,TRUE,
66,03bFP,03bFP,TRUE,TRUE,
65,17bFP,17bFP,TRUE,TRUE,
64,06b,06b,TRUE,TRUE,
63,01FP,01FP,TRUE,TRUE,
62,01FP,01FP,TRUE,TRUE,
70,06bFP,06bFP,TRUE,TRUE,
61,06bFP,06bFP,TRUE,TRUE,
59,01FP,01FP,TRUE,TRUE,
58,01FP,01FP,TRUE,TRUE,
57,01FP,01FP,TRUE,TRUE,
56,06bFP,06bFP,TRUE,TRUE,
55,06b,06b,TRUE,TRUE,
54,06b,06b,TRUE,TRUE,
52,17b,17b,TRUE,TRUE,
51,33aFP,33aFP,TRUE,TRUE,
60,06b,06b,TRUE,TRUE,
71,03gFP,03gFP,TRUE,TRUE,
72,03gFP,03gFP,TRUE,TRUE,
73,03gFP,03gFP,TRUE,TRUE,
92,17bFP,17bFP,TRUE,TRUE,
91,03gFP,03gFP,TRUE,TRUE,
90,03gFP,03gFP,TRUE,TRUE,
89,17bFP,17bFP,TRUE,TRUE,
88,17bFP,17bFP,TRUE,TRUE,
87,03bFP,03bFP,TRUE,TRUE,
86,04b,04b,TRUE,TRUE,
85,06b,06b,TRUE,TRUE,
84,29DAFP,29DAFP,TRUE,TRUE,
83,29aDAFP,29aDAFP,TRUE,TRUE,
82,06bFP,06bFP,TRUE,TRUE,
81,01FP,01FP,TRUE,TRUE,
80,03bFP,03bFP,TRUE,TRUE,
79,12*FP,12*FP,TRUE,TRUE,
78,12*FP,12*FP,TRUE,TRUE,
77,11bFP,11bFP,TRUE,TRUE,
76,06b,06b,TRUE,TRUE,
75,03gFP,03gFP,TRUE,TRUE,
74,03gFP,03gFP,TRUE,TRUE,
94,33cFP,33cFP,TRUE,TRUE,
53,02FP,02FP,TRUE,TRUE,
70,03b,03b,TRUE,TRUE,
139,03bFP,03bFP,TRUE,TRUE,
6,E1c,E1c,TRUE,TRUE,
97,06b,06b,TRUE,TRUE,
7,17e,17e,TRUE,TRUE,
8,E5a,E5a,TRUE,TRUE,
94,03b,03b,TRUE,TRUE,
93,06b,06b,TRUE,TRUE,
92,06b,06b,TRUE,TRUE,
5,E1c,E1c,TRUE,TRUE,
91,06b,06b,TRUE,TRUE,
14,04b,04b,TRUE,TRUE,
88,06b,06b,TRUE,TRUE,
87,06b,06b,TRUE,TRUE,
86,06b,06b,TRUE,TRUE,
85,06b,06b,TRUE,TRUE,
84,03b,03b,TRUE,TRUE,
83,06b,06b,TRUE,TRUE,
90,06b,06b,TRUE,TRUE,
15,06c,06c,TRUE,TRUE,
16,11DA,11DA,TRUE,TRUE,
2,E5c,E5c,TRUE,TRUE,
119,12*,12*,TRUE,TRUE,
118,06b,06b,TRUE,TRUE,
117,06b,06b,TRUE,TRUE,
116,04b,04b,TRUE,TRUE,
115,06b,06b,TRUE,TRUE,
18,17b,17b,TRUE,TRUE,
113,17b,17b,TRUE,TRUE,
112,06b,06b,TRUE,TRUE,
111,06b,06b,TRUE,TRUE,
110,04b,04b,TRUE,TRUE,
0,E4c,E4c,TRUE,TRUE,
108,06b,06b,TRUE,TRUE,
107,12e*,12e*,TRUE,TRUE,
106,03b,03b,TRUE,TRUE,
105,06b,06b,TRUE,TRUE,
104,11v,11v,TRUE,TRUE,
17,04b,04b,TRUE,TRUE,
82,17b,17b,TRUE,TRUE,
81,33a,33a,TRUE,TRUE,
80,04b,04b,TRUE,TRUE,
79,06b,06b,TRUE,TRUE,
10,11fDA,11fDA,TRUE,TRUE,
11,11fDA,11fDA,TRUE,TRUE,
14,E8,E8,TRUE,TRUE,
15,E1c,E1c,TRUE,TRUE,
0,06b,06b,TRUE,TRUE,
1,06b,06b,TRUE,TRUE,
2,17c,17c,TRUE,TRUE,
3,06b,06b,TRUE,TRUE,
4,03DA,03DA,TRUE,TRUE,
12,08l,08l,TRUE,TRUE,
6,06b,06b,TRUE,TRUE,
7,03DA,03DA,TRUE,TRUE,
8,03DA,03DA,TRUE,TRUE,
9,04b,04b,TRUE,TRUE,
10,11q,11q,TRUE,TRUE,
0,03b,03b,TRUE,TRUE,
1,06b,06b,TRUE,TRUE,
11,as H11/ 134A,as H11/ 134A,TRUE,TRUE,
120,12*,12*,TRUE,TRUE,
59,12*,12*,TRUE,TRUE,
61,12*,12*,TRUE,TRUE,
78,08h,08h,TRUE,TRUE,
77,06b,06b,TRUE,TRUE,
76,06b,06b,TRUE,TRUE,
75,06b,06b,TRUE,TRUE,
74,04b,04b,TRUE,TRUE,
73,06b,06b,TRUE,TRUE,
72,06b,06b,TRUE,TRUE,
71,06b,06b,TRUE,TRUE,
70,12e*,12e*,TRUE,TRUE,
69,11v,11v,TRUE,TRUE,
68,12*,12*,TRUE,TRUE,
67,12e*,12e*,TRUE,TRUE,
66,12*,12*,TRUE,TRUE,
9,08*DA,08*DA,TRUE,TRUE,
64,12*,12*,TRUE,TRUE,
63,12*,12*,TRUE,TRUE,
62,12*,12*,TRUE,TRUE,
60,12*,12*,TRUE,TRUE,
121,33g,33g,TRUE,TRUE,
2,11b*,11b*,TRUE,TRUE,
123,17b,17b,TRUE,TRUE,
60,06b,06b,TRUE,TRUE,
59,13c,13c,TRUE,TRUE,
57,06b,06b,TRUE,TRUE,
142,12e*,12e*,TRUE,TRUE,
56,11*,11*,TRUE,TRUE,
55,06b,06b,TRUE,TRUE,
54,12e*,12e*,TRUE,TRUE,
53,03b,03b,TRUE,TRUE,
52,03g,03g,TRUE,TRUE,
51,03g,03g,TRUE,TRUE,
50,26a,26a,TRUE,TRUE,
49,03b,03b,TRUE,TRUE,
48,05aDA,05aDA,TRUE,TRUE,
47,19a,19a,TRUE,TRUE,
46,06b,06b,TRUE,TRUE,
45,19a,19a,TRUE,TRUE,
44,05a,05a,TRUE,TRUE,
149,11b*,11b*,TRUE,TRUE,
43,05a,05a,TRUE,TRUE,
148,12g,12g,TRUE,TRUE,
64,06b,06b,TRUE,TRUE,
127,03b,03b,TRUE,TRUE,
69,06b,06b,TRUE,TRUE,
67,17b,17b,TRUE,TRUE,
122,12*,12*,TRUE,TRUE,
123,12e*,12e*,TRUE,TRUE,
124,06b,06b,TRUE,TRUE,
125,33a,33a,TRUE,TRUE,
126,22b*,22b*,TRUE,TRUE,
127,30a,30a,TRUE,TRUE,
128,30a,30a,TRUE,TRUE,
129,06b,06b,TRUE,TRUE,
130,06b,06b,TRUE,TRUE,
66,06b,06b,TRUE,TRUE,
141,03b,03b,TRUE,TRUE,
132,06b,06b,TRUE,TRUE,
65,06b,06b,TRUE,TRUE,
144,03b,03b,TRUE,TRUE,
147,03b,03b,TRUE,TRUE,
125,03b,03b,TRUE,TRUE,
157,03DA,03DA,TRUE,TRUE,
164,09b,09b,TRUE,TRUE,
29,03b,03b,TRUE,TRUE,
28,03b,03b,TRUE,TRUE,
27,03b,03b,TRUE,TRUE,
26,03b,03b,TRUE,TRUE,
25,06b,06b,TRUE,TRUE,
24,17b,17b,TRUE,TRUE,
134,03b,03b,TRUE,TRUE,
133,03b,03b,TRUE,TRUE,
23,06b,06b,TRUE,TRUE,
22,17c,17c,TRUE,TRUE,
21,22c,22c,TRUE,TRUE,
129,03b,03b,TRUE,TRUE,
20,17b,17b,TRUE,TRUE,
127,03DA,03DA,TRUE,TRUE,
126,12e*,12e*,TRUE,TRUE,
125,12*,12*,TRUE,TRUE,
19,17b,17b,TRUE,TRUE,
30,03b,03b,TRUE,TRUE,
42,03b,03b,TRUE,TRUE,
31,06b,06b,TRUE,TRUE,
33,03b,03b,TRUE,TRUE,
163,12e*,12e*,TRUE,TRUE,
162,12e*,12e*,TRUE,TRUE,
161,03b,03b,TRUE,TRUE,
160,03b,03b,TRUE,TRUE,
158,03b,03b,TRUE,TRUE,
162,03b,03b,TRUE,TRUE,
155,03b,03b,TRUE,TRUE,
163,03b,03b,TRUE,TRUE,
164,05a,05a,TRUE,TRUE,
152,06b,06b,TRUE,TRUE,
165,03b,03b,TRUE,TRUE,
39,06b,06b,TRUE,TRUE,
38,11*,11*,TRUE,TRUE,
37,12e*,12e*,TRUE,TRUE,
36,05cDA,05cDA,TRUE,TRUE,
35,22c,22c,TRUE,TRUE,
34,21DA,21DA,TRUE,TRUE,
32,06b,06b,TRUE,TRUE,
140,12FP,12FP,TRUE,TRUE,
154,01FP,01FP,TRUE,TRUE,
142,03gFP,03gFP,TRUE,TRUE,
3,06b,06b,TRUE,TRUE,
4,04b*,04b*,TRUE,TRUE,
5,06b,06b,TRUE,TRUE,
6,17c,17c,TRUE,TRUE,
7,08p,08p,TRUE,TRUE,
8,08m,08m,TRUE,TRUE,
9,17b,17b,TRUE,TRUE,
2,06b,06b,TRUE,TRUE,
41,06b,06b,TRUE,TRUE,
44,03b,03b,TRUE,TRUE,
45,17b,17b,TRUE,TRUE,
46,05cDA,05cDA,TRUE,TRUE,
16,03b,03b,TRUE,TRUE,
17,03b,03b,TRUE,TRUE,
18,06b,06b,TRUE,TRUE,
47,05cDA,05cDA,TRUE,TRUE,
43,33a,33a,TRUE,TRUE,
1,06b,06b,TRUE,TRUE,
0,04b,04b,TRUE,TRUE,
64,11fDA,11fDA,TRUE,TRUE,
45,06b,06b,TRUE,TRUE,
46,06b,06b,TRUE,TRUE,
47,06b,06b,TRUE,TRUE,
48,06b,06b,TRUE,TRUE,
49,06b,06b,TRUE,TRUE,
52,11q,11q,TRUE,TRUE,
53,06b,06b,TRUE,TRUE,
54,17b,17b,TRUE,TRUE,
55,06b,06b,TRUE,TRUE,
56,04b,04b,TRUE,TRUE,
57,06b,06b,TRUE,TRUE,
58,06b,06b,TRUE,TRUE,
59,06b,06b,TRUE,TRUE,
60,06b,06b,TRUE,TRUE,
61,06b,06b,TRUE,TRUE,
62,06b,06b,TRUE,TRUE,
40,12*,12*,TRUE,TRUE,
20,17b,17b,TRUE,TRUE,
44,06b,06b,TRUE,TRUE,
21,06b,06b,TRUE,TRUE,
48,05cDA,05cDA,TRUE,TRUE,
62,03b,03b,TRUE,TRUE,
63,05a,05a,TRUE,TRUE,
64,03b,03b,TRUE,TRUE,
65,03b,03b,TRUE,TRUE,
66,06a,06a,TRUE,TRUE,
20,17b,17b,TRUE,TRUE,
67,03c,03c,TRUE,TRUE,
61,21dDA,21dDA,TRUE,TRUE,
68,21dDA,21dDA,TRUE,TRUE,
23,12*,12*,TRUE,TRUE,
24,06b,06b,TRUE,TRUE,
25,06b,06b,TRUE,TRUE,
26,06b,06b,TRUE,TRUE,
134,03b,03b,TRUE,TRUE,
133,03DA,03DA,TRUE,TRUE,
132,03b,03b,TRUE,TRUE,
139,03b,03b,TRUE,TRUE,
60,06a,06a,TRUE,TRUE,
59,17c,17c,TRUE,TRUE,
58,05cDA,05cDA,TRUE,TRUE,
1,17b,17b,TRUE,TRUE,
49,05cDA+,05cDA+,TRUE,TRUE,
50,05cDA,05cDA,TRUE,TRUE,
51,05cDA,05cDA,TRUE,TRUE,
164,06b,06b,TRUE,TRUE,
52,05cDA,05cDA,TRUE,TRUE,
162,12g,12g,TRUE,TRUE,
161,12a,12a,TRUE,TRUE,
160,03b,03b,TRUE,TRUE,
53,05cDA,05cDA,TRUE,TRUE,
54,05cDA,05cDA,TRUE,TRUE,
157,03b,03b,TRUE,TRUE,
55,05cDA,05cDA,TRUE,TRUE,
56,05cDA,05cDA,TRUE,TRUE,
154,03b,03b,TRUE,TRUE,
153,03b,03b,TRUE,TRUE,
